thetha,lambda_pl,mu_pl,item size,Q,cl,cr,min_cost,zero_replica,max_replica,optimal replica
0.7,0.05,0.0007692307692307692,10,1,1,40,1.085349858502884,1.1685216025586616,1.2779931621049438,2
0.7,0.05,0.0007692307692307692,20,1,1,40,1.4754159383539032,1.52878973857253,3.40109018376514,2
0.7,0.05,0.0007692307692307692,30,1,1,40,1.7954654866129702,1.8316287987131346,6.0280325944275415,1
0.7,0.05,0.0007692307692307692,40,1,1,40,2.1274836329270213,2.1274836329270213,8.390866119863196,0
0.7,0.05,0.0007692307692307692,50,1,1,40,2.4358380292337993,2.4358380292337993,10.403354297009985,0
0.7,0.05,0.0007692307692307692,60,1,1,40,2.9689761890146147,2.9689761890146147,12.110721095977784,0
0.7,0.05,0.0007692307692307692,70,1,1,40,4.142874683803729,4.142874683803729,13.571179343071401,0
0.7,0.05,0.0007692307692307692,80,1,1,40,5.6039082523651444,5.6039082523651444,14.834075867314553,0
0.7,0.05,0.0007692307692307692,90,1,1,40,6.9481900609321094,6.9481900609321094,15.937957275006768,0
0.7,0.05,0.0007692307692307692,100,1,1,40,8.10474351056108,8.10474351056108,16.912432378287804,0
0.7,0.05,0.0007692307692307692,110,1,1,40,8.789465015249114,9.093209354520866,17.780312839091756,1
0.7,0.05,0.0007692307692307692,120,1,1,40,9.355042859271428,9.943374556353616,18.559346464911563,1
0.7,0.05,0.0007692307692307692,130,1,1,40,9.860178982627273,10.681154403541036,19.263507226509937,1
0.7,0.05,0.0007692307692307692,140,1,1,40,10.314486577542578,11.327192980649384,19.903933436136427,1
0.7,0.05,0.0007692307692307692,150,1,1,40,10.72566045564568,11.897659258358559,20.4896087693379,1
